"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"66","1999_205U_1",0,0,"HOL BERM",115051,"205U",1999,8,8,1,24.47875,-81.72397,8.2,8,5187288,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.47875_-81.72397","Thirteen Foot Hump",24.4774666666667,-81.7312833333333,3408,"SPGR",75,0,"1999_205U"
"67","1999_205U_2",0,0,"HOL BERM",115012,"205U",1999,8,8,2,24.47862,-81.72333,7.6,8,5187288,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.47862_-81.72333","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",76,0,"1999_205U"
"68","1999_205U_3",0,0,"HOL BERM",115042,"205U",1999,8,8,3,24.47865,-81.72425,7.9,8,5187288,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.47865_-81.72425","Thirteen Foot Hump",24.4774666666667,-81.7312833333333,3408,"SPGR",77,0,"1999_205U"
"69","1999_205U_4",0,0,"HOL BERM",114916,"205U",1999,8,8,4,24.4787,-81.72575,7.9,8,5183538,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.4787_-81.72575","Thirteen Foot Hump",24.4774666666667,-81.7312833333333,3408,"SPGR",78,0,"1999_205U"
"70","1999_206U_1",0,0,"HOL BERM",116294,"206U",1999,8,8,1,24.47853,-81.71877,7.6,8,5194787,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.47853_-81.71877","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",79,0,"1999_206U"
"71","1999_206U_2",0,0,"HOL BERM",116538,"206U",1999,8,8,2,24.47857,-81.71877,6.4,8,5194788,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.47857_-81.71877","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",80,0,"1999_206U"
"72","1999_206U_3",0,0,"HOL BERM",116377,"206U",1999,8,8,3,24.4788,-81.72013,8.5,8,5194788,"SPGR_HR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.4788_-81.72013","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",81,0,"1999_206U"
"73","1999_206U_4",0,0,"HOL BERM",116296,"206U",1999,8,8,4,24.4788,-81.7187,8.5,8,5194788,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.4788_-81.7187","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",82,0,"1999_206U"
"74","1999_207U_1",0,0,"HOL BERM",117711,"207U",1999,8,9,1,24.48907,-81.67077,7.9,8,5288543,"SPGR_LR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.48907_-81.67077","Middle Sambo",24.4883333333333,-81.6733333333333,3408,"SPGR",83,0,"1999_207U"
"75","1999_207U_2",0,0,"HOL BERM",117713,"207U",1999,8,9,2,24.48883,-81.67117,9.5,8,5284793,"SPGR_LR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.48883_-81.67117","Middle Sambo",24.4883333333333,-81.6733333333333,3408,"SPGR",84,0,"1999_207U"
